"cohort","org_region5","res_region5","cohortfer","wgtProp"
"1936-1940","Seoul","Seoul",2.66174275958012,0.00984794657210003
"1936-1940","Rest Capital","Seoul",2.8546658153836,0.00554508396032134
"1936-1940","Metros","Seoul",2.87658945293248,0.000649910342881864
"1936-1940","Provinces","Seoul",3.07093707559971,0.11033723652953
"1936-1940","Abroad","Seoul",2.76727943598867,0.00145100341821853
"1936-1940","Seoul","Rest Capital",2.58401424680494,0.000574286132616552
"1936-1940","Rest Capital","Rest Capital",3.2627995419972,0.0151886245243119
"1936-1940","Metros","Rest Capital",3.22143734643735,6.67052654352853e-05
"1936-1940","Provinces","Rest Capital",3.32747966959081,0.0247829273228321
"1936-1940","Abroad","Rest Capital",3.03928203619244,0.000293970723932195
"1936-1940","Seoul","Metros",2.79378316906747,4.46080568783915e-05
"1936-1940","Rest Capital","Metros",2.9021372328459,2.02364799931643e-05
"1936-1940","Metros","Metros",3.16618130577735,0.00653209867938117
"1936-1940","Provinces","Metros",3.393728692285,0.090511887471736
"1936-1940","Abroad","Metros",2.99799927246272,0.000761639581279603
"1936-1940","Seoul","Provinces",3.16093199674885,8.88200341708651e-05
"1936-1940","Rest Capital","Provinces",3.40568654646325,0.0001209818266228
"1936-1940","Metros","Provinces",3.36419111918982,0.000390717878025821
"1936-1940","Provinces","Provinces",4.02492517938892,0.732334417560877
"1936-1940","Abroad","Provinces",3.36968336483932,0.000456897638854502
"1941-1945","Seoul","Seoul",2.44268711558431,0.0222993073553217
"1941-1945","Rest Capital","Seoul",2.73525395958493,0.00756977391629679
"1941-1945","Metros","Seoul",2.71328976034858,0.000757025770909156
"1941-1945","Provinces","Seoul",2.80193836144741,0.126557270364818
"1941-1945","Abroad","Seoul",2.35590045491035,0.0019996842152485
"1941-1945","Seoul","Rest Capital",2.42767527675277,0.00103297091877529
"1941-1945","Rest Capital","Rest Capital",2.91381796590042,0.0198756007460378
"1941-1945","Metros","Rest Capital",2.28545454545455,4.43476728540343e-05
"1941-1945","Provinces","Rest Capital",3.04703203517589,0.023152622552778
"1941-1945","Abroad","Rest Capital",2.77845683728036,0.000249475817837058
"1941-1945","Seoul","Metros",2.3921875,6.09872129166224e-05
"1941-1945","Rest Capital","Metros",2.78876781223806,0.000209878110604415
"1941-1945","Metros","Metros",2.71329479768786,0.00878809611702036
"1941-1945","Provinces","Metros",3.04427063558356,0.100392575862375
"1941-1945","Abroad","Metros",2.76625310173697,0.000590813625129779
"1941-1945","Seoul","Provinces",3.31965442764579,0.000128967430775848
"1941-1945","Rest Capital","Provinces",3.76823529411765,0.000411223875555591
"1941-1945","Metros","Provinces",2.90791300323924,0.000696984153000496
"1941-1945","Provinces","Provinces",3.67513953728112,0.684893203473574
"1941-1945","Abroad","Provinces",2.89779985805536,0.000289190808171465
"1946-1950","Seoul","Seoul",1.88752216560795,0.0107522022192077
"1946-1950","Rest Capital","Seoul",2.08116551900025,0.00535054124936154
"1946-1950","Metros","Seoul",1.99747679553032,0.00266287655775795
"1946-1950","Provinces","Seoul",2.17855802510322,0.153052949597528
"1946-1950","Abroad","Seoul",1.28419010669253,5.70051882467604e-06
"1946-1950","Seoul","Rest Capital",1.94594594594594,0.00283544138086359
"1946-1950","Rest Capital","Rest Capital",2.19414889424821,0.0220285231878699
"1946-1950","Metros","Rest Capital",2.04458688455307,0.00110288092516262
"1946-1950","Provinces","Rest Capital",2.23815883615552,0.0861386075335611
"1946-1950","Abroad","Rest Capital",1.80613362541073,4.54327479945325e-06
