"org_admin","Male_2000","Male_2010","Male_2015","Male_2020","Female_2000","Female_2010","Female_2015","Female_2020","Total_2000","Total_2010","Total_2015","Total_2020"
"Total",0.504458381113635,0.516322217551682,0.502936683719945,0.503887326534382,0.447590336596029,0.483023430185062,0.471843594886773,0.472556763640023,0.482069080514197,0.498966233343139,0.486847462161245,0.487733467190452
"Seoul",0.623094770377783,0.630636327199366,0.59225182375415,0.559745457969791,0.576085903323516,0.606179062637668,0.594475826098503,0.567266477784324,0.602726227107688,0.618841906724866,0.593331618169657,0.567358479193493
"Busan",0.598356866196965,0.615464970845921,0.566292205072903,0.556042780721551,0.568667908099253,0.608766776330204,0.568591321129171,0.548926227967047,0.583433801666944,0.612254070512449,0.567518456663168,0.553512898976781
"Daegu",0.638253546524675,0.65843854436834,0.626354334761825,0.58117617398272,0.575411076927203,0.631787157017912,0.587754918182508,0.614545447768527,0.61530930127141,0.653034108679482,0.612416306063334,0.604771331325366
"Incheon",0.751656057083153,0.717171028556176,0.680390232116083,0.602210803878976,0.643042230392967,0.6580402403331,0.662856578876413,0.612731160172443,0.708553674938782,0.696652425741414,0.671762081952511,0.60733431848629
"Gwangju",0.564750501347935,0.619548827679981,0.556680078014133,0.56389774541392,0.487739907264996,0.559792084664848,0.526877071784311,0.541903421600541,0.534078884115537,0.589320400026351,0.54768717889911,0.55465841735306
"Daejeon",0.633593921809543,0.643324744394745,0.579417297604275,0.551058724121184,0.510533325824567,0.584590740156917,0.573260129145636,0.563389488072755,0.582686434679973,0.630603095191866,0.584347410041724,0.557609609747493
"Ulsan",0.648592168942672,0.621249896650761,0.588645754184628,0.535583400686032,0.629921407316846,0.599988075591936,0.533600138637176,0.561380932742133,0.651855723813679,0.610764511477327,0.561692962359025,0.546982123701789
"Sejong",NA,NA,0.308969287625174,0.361311523425534,NA,NA,0.27254659013902,0.349143607717609,NA,NA,0.296406866810934,0.367966219216212
"Gyeonggi",0.723590358773419,0.743479189553624,0.759241443724889,0.733897568582785,0.631296655348723,0.69493005073169,0.698176076303383,0.707027057692039,0.676333330810965,0.723421719067706,0.730850439609055,0.726380899985919
"Gangwon",0.383359718929931,0.411275663288394,0.390024851285609,0.409527380778585,0.303513981902186,0.348037869869554,0.382599825147802,0.384573660872293,0.344127365248292,0.378875211544039,0.386269396860819,0.407484194096696
"Chungbuk",0.430696263430003,0.442809728210988,0.436340014843446,0.462335673565114,0.346165744451675,0.400090923690284,0.402384128459019,0.390827618842221,0.390673785250472,0.420280267873786,0.418981748912897,0.425651042335688
"Chungnam",0.337540206427629,0.37043338603576,0.36061283789241,0.370569283840182,0.259999519354166,0.332318953815258,0.325003508539224,0.322388549824257,0.299628332021298,0.350516192743537,0.342096824592409,0.345745161099754
"Jeonbuk",0.396474711780962,0.435572748525251,0.425190373183535,0.40892631753855,0.335423454856627,0.401448421246877,0.401064476379781,0.401699818670437,0.365966208875307,0.418686835245635,0.412695587859197,0.405511162997902
"Jeonnam",0.288109247841718,0.31115317360835,0.322303280529698,0.315216958308413,0.229593685114845,0.279887192205864,0.300890667647564,0.296943498158185,0.25861047640299,0.295617297323951,0.311273229849266,0.305626778373512
"Gyeongbuk",0.375475643699678,0.409740987543026,0.395397601858626,0.395482068155258,0.322456769803607,0.396943245738745,0.376125501774151,0.382872576381439,0.349673149141442,0.409167371538179,0.38564830906117,0.389060076265462
"Gyeongnam",0.488679629010368,0.514229824653737,0.515031664317237,0.519213042197782,0.473933823005138,0.495916707765347,0.502246978766079,0.501392143261787,0.489315014563264,0.504834788078244,0.509439563926301,0.509945196807699
"Jeju",0.786207602016043,0.711964451253688,0.702402426617534,0.613443788855817,0.663547399667305,0.675862915785476,0.654737636764115,0.691655755885556,0.727817619778227,0.703820465125188,0.680398254447961,0.654251124699463
