"org_region5","sex","agegr","retention","Sx","lx","qx","age_lower"
"Metros","Total","0-4",0.919855067353128,1,1,0.0469680324114861,0
"Metros","Total","5-9",0.876651284735816,0.953031967588514,0.953031967588514,0.0316901024718629,5
"Metros","Total","10-14",0.848870115690448,0.922830286876673,0.922830286876673,0.0283658576378447,10
"Metros","Total","15-19",0.824791186835752,0.896653414335238,0.896653414335238,0.126075448203412,15
"Metros","Total","20-24",0.72080526828121,0.783607433239803,0.783607433239803,0.118514373501725,20
"Metros","Total","25-29",0.63537948349412,0.690738689218093,0.690738689218093,0.0928556115967497,25
"Metros","Total","30-34",0.576380932958247,0.62659972577721,0.62659972577721,1e-06,30
"Metros","Total","35+",0.590078920925157,0.641491189066449,0.626599099177484,1e-06,35
"Provinces","Total","0-4",0.949218676838747,1,1,0.0423944321178412,0
"Provinces","Total","5-9",0.90897709007852,0.957605567882159,0.957605567882159,0.0279035624846314,5
"Provinces","Total","10-14",0.883613391048415,0.930884961083128,0.930884961083128,0.05168973318214,10
"Provinces","Total","15-19",0.837939650628957,0.882767765821474,0.882767765821474,0.178796769628441,15
"Provinces","Total","20-24",0.688118747952915,0.724931740960479,0.724931740960479,0.134140440347804,20
"Provinces","Total","25-29",0.595814196090931,0.62768907800594,0.62768907800594,0.0906992861701396,25
"Provinces","Total","30-34",0.541774273815448,0.570758126694008,0.570758126694008,0.159756871479625,30
"Provinces","Total","35+",0.455222110782547,0.479575594001802,0.479575594001802,1e-06,35
"Rest Capital","Total","0-4",0.948016105417277,1,1,0.0547412960946712,0
"Rest Capital","Total","5-9",0.896120475088113,0.945258703905329,0.945258703905329,0.0179485547495919,5
"Rest Capital","Total","10-14",0.880036407678763,0.928292676305756,0.928292676305756,0.0172464918233421,10
"Rest Capital","Total","15-19",0.864858866969488,0.91228288425418,0.91228288425418,0.0803889597350902,15
"Rest Capital","Total","20-24",0.795333762336142,0.838945412204859,0.838945412204859,0.0345958064667843,20
"Rest Capital","Total","25-29",0.767818549417862,0.809921419088023,0.809921419088023,0.0397130840181533,25
"Rest Capital","Total","30-34",0.737326106854133,0.777756941723678,0.777756941723678,1e-06,30
"Rest Capital","Total","35+",0.753880551417323,0.795219139326221,0.777756163966737,1e-06,35
"Seoul","Total","0-4",0.827527761349857,1,1,0.133068614487754,0
"Seoul","Total","5-9",0.717409788696879,0.866931385512246,0.866931385512246,0.0432896911894655,5
"Seoul","Total","10-14",0.686353340487891,0.829402193550965,0.829402193550965,0.0122366776036864,10
"Seoul","Total","15-19",0.677954655938128,0.819253066304692,0.819253066304692,0.0653526181110186,15
"Seoul","Total","20-24",0.633648544212016,0.7657127335262,0.7657127335262,0.0792756285996077,20
"Seoul","Total","25-29",0.583415657558382,0.705010375249187,0.705010375249187,0.0951153993277787,25
"Seoul","Total","30-34",0.527923844315638,0.637953031877133,0.637953031877133,0.11065791548309,30
"Seoul","Total","35+",0.469504892169851,0.567358479193493,0.567358479193493,1e-06,35
