"stage","component","type","1990-2000","2000-2010","2010-2020"
"1단계: 출생지 기준","composition","value","-0.014","-0.019","-0.03"
"1단계: 출생지 기준","composition","percentage","1.2%","5.4%","10.8%"
"1단계: 출생지 기준","rate","value","-1.164","-0.333","-0.247"
"1단계: 출생지 기준","rate","percentage","98.8%","94.6%","88.8%"
"1단계: 출생지 기준","total","value","-1.178","-0.352","-0.278"
"1단계: 출생지 기준","total","percentage","100.2%","100.0%","100.0%"
"2단계: 거주지 기준","composition","value","-0.116","0.013","-0.001"
"2단계: 거주지 기준","composition","percentage","9.8%","-3.7%","0.4%"
"2단계: 거주지 기준","rate","value","-1.062","-0.365","-0.277"
"2단계: 거주지 기준","rate","percentage","90.2%","103.7%","99.6%"
"2단계: 거주지 기준","total","value","-1.178","-0.352","-0.278"
"2단계: 거주지 기준","total","percentage","100.2%","100.0%","100.0%"
"3단계: 출생지×거주지 기준","composition","value","-0.113","0","-0.021"
"3단계: 출생지×거주지 기준","composition","percentage","9.6%","0.0%","7.6%"
"3단계: 출생지×거주지 기준","rate","value","-1.063","-0.352","-0.256"
"3단계: 출생지×거주지 기준","rate","percentage","90.2%","100.0%","92.1%"
"3단계: 출생지×거주지 기준","total","value","-1.176","-0.352","-0.278"
"3단계: 출생지×거주지 기준","total","percentage","100.0%","100.0%","100.0%"
