"component","value","period","stage"
"composition",-0.0137229923021812,"1990-2000","1단계: 출생지 기준"
"rate",-1.1639512696056,"1990-2000","1단계: 출생지 기준"
"total",-1.17767426190778,"1990-2000","1단계: 출생지 기준"
"composition",-0.0187116685337463,"2000-2010","1단계: 출생지 기준"
"rate",-0.332967775768398,"2000-2010","1단계: 출생지 기준"
"total",-0.351679444302144,"2000-2010","1단계: 출생지 기준"
"composition",-0.0304581404380893,"2010-2020","1단계: 출생지 기준"
"rate",-0.247199473576787,"2010-2020","1단계: 출생지 기준"
"total",-0.277657614014877,"2010-2020","1단계: 출생지 기준"
"composition",-0.115766037639708,"1990-2000","2단계: 거주지 기준"
"rate",-1.06190822426807,"1990-2000","2단계: 거주지 기준"
"total",-1.17767426190778,"1990-2000","2단계: 거주지 기준"
"composition",0.0133769239334959,"2000-2010","2단계: 거주지 기준"
"rate",-0.36505636823564,"2000-2010","2단계: 거주지 기준"
"total",-0.351679444302144,"2000-2010","2단계: 거주지 기준"
"composition",-0.000804400113291474,"2010-2020","2단계: 거주지 기준"
"rate",-0.276853213901585,"2010-2020","2단계: 거주지 기준"
"total",-0.277657614014877,"2010-2020","2단계: 거주지 기준"
"composition",-0.11310207985805,"1990-2000","3단계: 출생지×거주지 기준"
"rate",-1.06293784202666,"1990-2000","3단계: 출생지×거주지 기준"
"total",-1.17603992188471,"1990-2000","3단계: 출생지×거주지 기준"
"composition",9.48666601985185e-05,"2000-2010","3단계: 출생지×거주지 기준"
"rate",-0.351791252332826,"2000-2010","3단계: 출생지×거주지 기준"
"total",-0.351696385672628,"2000-2010","3단계: 출생지×거주지 기준"
"composition",-0.0213571683510093,"2010-2020","3단계: 출생지×거주지 기준"
"rate",-0.256300445663868,"2010-2020","3단계: 출생지×거주지 기준"
"total",-0.277657614014877,"2010-2020","3단계: 출생지×거주지 기준"
