"index","org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex"
"1","Abroad","Female","0-4",3349,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","5-9",6322,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","10-14",5543,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","15-19",2646,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","20-24",2145,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","25-29",8474,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","30-34",4734,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","35-39",2766,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","40-44",2453,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","45-49",2984,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","50-54",21215,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","55-59",62304,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","60-64",54405,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","65-69",49363,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","70-74",35902,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","75-79",23259,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","80-84",11231,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Female","85+",6504,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","0-4",3508,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","5-9",6384,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","10-14",5514,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","15-19",3245,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","20-24",1138,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","25-29",1140,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","30-34",1039,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","35-39",1803,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","40-44",703,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","45-49",2853,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","50-54",25155,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","55-59",65789,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","60-64",55295,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","65-69",47880,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","70-74",36565,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","75-79",22926,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","80-84",11806,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Abroad","Male","85+",3871,0,0,NA,1,0,NA,NA,NA,NA,NA
"1","Busan","Female","0-4",15233,86438,0.850173599158069,1,0.891385645331595,0.108614354668405,1,0.108614354668405,4.72846411332899,68.5832487664926,68.5832487664926
"1","Busan","Female","5-9",30207,94529,0.7578325423294,0.891385645331595,0.960804620624367,0.0391953793756326,0.891385645331595,0.0349381985387649,4.36958273031106,63.8547846531636,71.6354195152085
"1","Busan","Female","10-14",35185,94233,0.728129008329599,0.85644744679283,1.05051449560421,-0.0505144956042065,0.85644744679283,-0.0432630107862503,4.39039476092978,59.4852019228526,69.4557525340393
"1","Busan","Female","15-19",38196,124278,0.76491007792016,0.89971045757908,0.948597032484171,0.0514029675158287,0.89971045757908,0.0462477874245889,4.38293281933393,55.0948071619228,61.2361529176515
"1","Busan","Female","20-24",44008,116366,0.7255914300323,0.853462670154491,0.823418123763818,0.176581876236182,0.853462670154491,0.150706039593422,3.8905482517889,50.7118743425888,59.4189718144428
"1","Busan","Female","25-29",60439,89707,0.597465133936302,0.70275663056107,0.850073908169018,0.149926091830982,0.70275663056107,0.105361555128331,3.25037926498452,46.8213260908,66.6252356145235
"1","Busan","Female","30-34",58352,60223,0.507889521399958,0.597395075432739,0.968486616906393,0.0315133830936067,0.597395075432739,0.018825939870346,2.93991052748783,43.5709468258154,72.9348945406918
"1","Busan","Female","35-39",49304,47729,0.491884204342852,0.578569135562393,1.06367587202863,-0.0636758720286295,0.578569135562393,-0.0368408942357857,2.98494791340143,40.6310362983276,70.2267608154254
"1","Busan","Female","40-44",44833,49197,0.523205359991492,0.615410029798179,0.95385326275632,0.0461467372436796,0.615410029798179,0.0283991649422216,3.00605223663534,37.6460883849262,61.1723673032629
"1","Busan","Female","45-49",35215,35083,0.49906113971948,0.587010864855957,1.15510957118815,-0.155109571188147,0.587010864855957,-0.091051003530591,3.16268183310626,34.6400361482908,59.0108943840263
"1","Busan","Female","50-54",17233,23456,0.576470299098036,0.678061868386548,0.963822185370275,0.0361778146297254,0.678061868386548,0.0245307965819738,3.32898235047781,31.4773543151846,46.4225401585922
"1","Busan","Female","55-59",10823,13532,0.555614863477725,0.653531071804574,1.01427641660459,-0.0142764166045877,0.653531071804574,-0.00933008184512481,3.29098056363568,28.1483719647068,43.0712068318061
"1","Busan","Female","60-64",8441,10899,0.563547052740434,0.662861153649699,1.16410377300805,-0.164103773008052,0.662861153649699,-0.108778016294386,3.58625080898446,24.8573914010711,37.5001480539428
"1","Busan","Female","65-69",5453,10400,0.656027250362707,0.771639169944085,1.09297101348194,-0.0929710134819393,0.771639169944085,-0.071740075672064,4.03754603890058,21.2711405920866,27.5661752547217
"1","Busan","Female","70-74",3121,7908,0.717018768700698,0.843379245616149,1.03085668651437,-0.0308566865143736,0.843379245616149,-0.0260238889947064,4.28195595056751,17.233594553186,20.4339799002235
"1","Busan","Female","75-79",1724,4885,0.739143592071418,0.869403134610855,1.03237743317801,-0.0323774331780127,0.869403134610855,-0.0281490418956177,4.41738827779332,12.9516386026185,14.8971611523067
"1","Busan","Female","80-84",829,2670,0.763075164332666,0.897552176506473,0.934448165163005,0.0655518348369954,0.897552176506473,0.0588361920319381,4.34067040245252,8.5342503248252,9.50836123872253
"1","Busan","Female","85+",466,1158,0.713054187192118,0.838715984474535,1,0,0.838715984474535,0,4.19357992237267,4.19357992237267,5
"1","Busan","Male","0-4",17147,100042,0.853680806219014,1,0.907834443422334,0.0921655565776657,1,0.0921655565776657,4.76958610855584,69.8810320990322,69.8810320990322
"1","Busan","Male","5-9",33499,115386,0.775000839574168,0.907834443422334,0.94653012187453,0.0534698781254703,0.907834443422334,0.0485417970478964,4.41781772449193,65.1114459904764,71.7217180535921
