"org_region5","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Metros","Female","0-4",39925,276016,0.873631469166712,1,0.92448748776276,0.0755125122372398,1,0.0755125122372398,4.8112187194069,61.0264064378509,61.0264064378509,2000
"Metros","Female","5-9",66935,281071,0.807661362160423,0.92448748776276,0.98412069866781,0.0158793013321902,0.92448748776276,0.0146802153960243,4.58573690032374,56.215187718444,60.8068670074524,2000
"Metros","Female","10-14",64405,249515,0.79483626401631,0.909807272366736,0.999999,1e-06,0.909807272366736,9.09807272366736e-07,4.5490340873155,51.6294508181202,56.7476787515816,2000
"Metros","Female","15-19",66744,301242,0.81862353459099,0.937035310062503,0.933148458349935,0.0668515416500646,0.909806362559463,0.0608219579401377,4.39697691794697,47.0804167308047,51.7477329993146,2000
"Metros","Female","20-24",81586,263967,0.763897289272557,0.874393055004279,0.858259289307942,0.141740710692058,0.848984404619326,0.120335652877217,3.94408289090359,42.6834398128578,50.2758820781832,2000
"Metros","Female","25-29",112852,214846,0.655621944595329,0.750455961963773,0.878575336192084,0.121424663807916,0.728648751742109,0.0884759297143434,3.42205393442469,38.7393569219542,53.1660238617484,2000
"Metros","Female","30-34",117831,160081,0.576013270387749,0.659332099079675,0.957233220101062,0.0427667798989381,0.640172822027766,0.0273781301769435,3.13241878469647,35.3173029875295,55.1683885542984,2000
"Metros","Female","35-39",108346,133163,0.551379037634208,0.63113458831803,0.999999,1e-06,0.612794691850822,6.12794691850822e-07,3.06397192726738,32.184884202833,52.5214800827094,2000
"Metros","Female","40-44",93367,134594,0.590425555248486,0.675829083642839,0.958387107170554,0.0416128928294457,0.61279407905613,0.0255001343382816,3.00022005943495,29.1209122755656,47.5215301042395,2000
"Metros","Female","45-49",73837,96238,0.565856239894164,0.647705880414187,0.999999,1e-06,0.587293944717849,5.87293944717849e-07,2.93646825535438,26.1206922161307,44.4763520057741,2000
"Metros","Female","50-54",44937,66763,0.597699194270367,0.684154835723197,0.999999,1e-06,0.587293357423904,5.87293357423904e-07,2.93646531888613,23.1842239607763,39.4763939821681,2000
"Metros","Female","55-59",30326,49019,0.617795702312685,0.707158251638934,0.99871582079749,0.00128417920251045,0.587292770130547,0.000754189161186398,2.93457837774977,20.2477586418902,34.476430958599,2000
"Metros","Female","60-64",24531,39519,0.617002341920375,0.706250133719296,0.999999,1e-06,0.58653858096936,5.8653858096936e-07,2.93269143850035,17.3131802641404,29.5175472268632,2000
"Metros","Female","65-69",19638,33595,0.631093494636785,0.722379535204628,0.999999,1e-06,0.586537994430779,5.86537994430779e-07,2.93268850580891,14.38048882564,24.5175742444374,2000
"Metros","Female","70-74",11927,26581,0.6902721512413,0.790118231317488,0.999999,1e-06,0.586537407892785,5.86537407892785e-07,2.9326855731204,11.4478003198311,19.5175962620337,2000
"Metros","Female","75-79",6731,17114,0.717718599287062,0.821534737034642,0.990092884347625,0.0099071156523749,0.586536821355377,0.00581088812354408,2.91815688646802,8.51511474671073,14.5176132796469,2000
"Metros","Female","80-84",3912,9606,0.710608078118065,0.813395697382396,0.951715584850735,0.0482844151492645,0.580725933231833,0.0280400120481099,2.83352963603889,5.5969578602427,9.63786450709155,2000
"Metros","Female","85+",2465,5150,0.676296782665791,0.774121361849359,0.999999,1e-06,0.552685921183723,5.52685921183723e-07,2.76342822420381,2.76342822420381,4.9999975,2000
"Metros","Male","0-4",40741,312117,0.884539956583101,1,0.928266666276333,0.071733333723667,1,0.071733333723667,4.82066666569083,67.1632014539782,67.1632014539782,2000
"Metros","Male","5-9",74242,340724,0.821088956685608,0.928266666276333,0.985721734064833,0.0142782659351671,0.928266666276333,0.0132540383198445,4.60819823558205,62.3425347882874,67.1601567234655,2000
"Metros","Male","10-14",69209,293836,0.809365230205622,0.915012627956489,0.999999,1e-06,0.915012627956489,9.15012627956488e-07,4.57506085225087,57.7343365527054,63.0967647754155,2000
"Metros","Male","15-19",71891,311245,0.812361667919485,0.918400194217982,0.94308749902841,0.0569125009715898,0.91501171294386,0.0520756050019335,4.44486955221447,53.1592757004545,58.0968253722409,2000
"Metros","Male","20-24",60871,199404,0.766128133704735,0.866131742272243,0.914464183179876,0.0855358168201245,0.862936107941927,0.0738119448563918,4.13015067756865,48.71440614824,56.4519269733911,2000
"Metros","Male","25-29",95530,223538,0.700596737999423,0.792046456223149,0.8840627909068,0.1159372090932,0.789124163085535,0.0914888530961444,3.71689868268731,44.5842554706714,56.4984036179345,2000
"Metros","Male","30-34",102241,166370,0.61937150749597,0.700218800616477,0.99834122542778,0.00165877457221997,0.697635309989391,0.0011572197128932,3.48528350066472,40.867356787984,58.5798284616722,2000
"Metros","Male","35-39",90133,146030,0.618344109788578,0.699057295475024,0.999999,1e-06,0.696478090276498,6.96478090276498e-07,3.48238871018726,37.3820732873193,53.6730068170255,2000
"Metros","Male","40-44",84245,143429,0.629975315582807,0.712206736274916,0.977095219346765,0.0229047806532346,0.696477393798407,0.015952661934889,3.44250531415481,33.8996845771321,48.6730579900834,2000
"Metros","Male","45-49",64739,103653,0.61554586916243,0.695893797200783,0.999999,1e-06,0.680524731863518,6.80524731863518e-07,3.40262195800576,30.4571792629773,44.7554333250677,2000
"Metros","Male","50-54",41591,76177,0.646839548943686,0.731272277899541,0.999999,1e-06,0.680524051338786,6.80524051338786e-07,3.4026185553838,27.0545573049715,39.7554755805433,2000
"Metros","Male","55-59",22655,47484,0.676998531487475,0.765367947992603,0.999999,1e-06,0.680523370814735,6.80523370814735e-07,3.40261515276525,23.6519387495877,34.7555128360561,2000
"Metros","Male","60-64",16731,37447,0.69118461368083,0.781405756220232,0.999999,1e-06,0.680522690291364,6.80522690291364e-07,3.4026117501501,20.2493235968224,29.7555450916012,2000
"Metros","Male","65-69",10808,28107,0.722266478221765,0.816544773185618,0.999999,1e-06,0.680522009768674,6.80522009768674e-07,3.40260834753834,16.8467118466723,24.7555723471736,2000
"Metros","Male","70-74",5767,15005,0.722366647409975,0.816658017576066,0.999999,1e-06,0.680521329246664,6.80521329246664e-07,3.40260494493,13.444103499134,19.7555946027682,2000
"Metros","Male","75-79",2447,8376,0.773907419384644,0.874926467283828,0.999999,1e-06,0.680520648725335,6.80520648725335e-07,3.40260154232505,10.041498554204,14.75561185838,2000
"Metros","Male","80-84",1104,3993,0.783402001177163,0.88566038803196,0.967416871006174,0.0325831289938258,0.680519968204686,0.0221734699068875,3.34716616625621,6.63889701187896,9.75562411400413,2000
"Metros","Male","85+",415,1299,0.757876312718786,0.856802801363993,0.999999,1e-06,0.658346498297798,6.58346498297798e-07,3.29173084562275,3.29173084562275,4.9999975,2000
"Metros","Total","0-4",80666,588133,0.879386781379757,1,0.926741672044956,0.0732583279550444,1,0.0732583279550444,4.81685418011239,63.9919586787217,63.9919586787217,2000
"Metros","Total","5-9",141177,621795,0.814964376150108,0.926741672044956,0.984862564450328,0.0151374355496721,0.926741672044956,0.0140284923317758,4.59863712939534,59.1751044986093,63.852858119602,2000
"Metros","Total","10-14",133614,543351,0.802627905430857,0.91271317971318,0.999999,1e-06,0.91271317971318,9.1271317971318e-07,4.56356361678295,54.576467369214,59.7958576497872,2000
"Metros","Total","15-19",138635,612487,0.815429450874825,0.927270534582538,0.937979000878266,0.0620209991217339,0.912712267,0.0566073267100027,4.42204301822499,50.012903752431,54.7959149457022,2000
"Metros","Total","20-24",142457,463371,0.764855701618281,0.869760289571585,0.886192367437932,0.113807632562068,0.856104940289997,0.0974312764790949,4.03694651025225,45.590860734206,53.2538227366876,2000
"Metros","Total","25-29",208382,438384,0.677809284965505,0.770774930118944,0.881255916934817,0.118744083065183,0.758673663810903,0.0900880085549289,3.56814829766719,41.5539142239538,54.7717895138521,2000
"Metros","Total","30-34",220072,326451,0.597323442929209,0.679249967792339,0.978509803102723,0.0214901968972774,0.668585655255974,0.0143680373741461,3.3070081828445,37.9857659262866,56.8151075747257,2000
"Metros","Total","35-39",198479,279193,0.5844868445293,0.664652752242013,0.999999,1e-06,0.654217617881828,6.54217617881827e-07,3.27108645386509,34.6787577434421,53.0079851039813,2000
"Metros","Total","40-44",177612,278023,0.610187979413346,0.693878953304213,0.967861602663488,0.0321383973365116,0.65421696366421,0.0210254847225265,3.21852110651473,31.407671289577,48.008035612017,2000
"Metros","Total","45-49",138576,199891,0.590577515680997,0.671578795799479,0.999999,1e-06,0.633191478941683,6.33191478941683e-07,3.16595581172972,28.1891501830623,44.5191559276471,2000
"Metros","Total","50-54",86528,142940,0.622919099830913,0.708356223928627,0.999999,1e-06,0.633190845750204,6.33190845750204e-07,3.16595264577391,25.0231943713325,39.519197946845,2000
"Metros","Total","55-59",52981,96503,0.645574108265768,0.734118503865685,0.999999,1e-06,0.633190212559358,6.33190212559358e-07,3.16594947982126,21.8572417255586,34.51923496608,2000
"Metros","Total","60-64",41262,76966,0.650996379876171,0.740284472839993,0.999999,1e-06,0.633189579369146,6.33189579369146e-07,3.16594631387178,18.6912922457374,29.519266985347,2000
"Metros","Total","65-69",30446,61702,0.66959673568607,0.761435980008107,0.999999,1e-06,0.633188946179566,6.33188946179566e-07,3.16594314792547,15.5253459318656,24.519294004641,2000
