"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Busan","Female","0-4",15233,86438,0.850173599158069,1,0.891385645331595,0.108614354668405,1,0.108614354668405,4.72846411332899,55.2707114239288,55.2707114239288,2000
"Busan","Female","5-9",30207,94529,0.7578325423294,0.891385645331595,0.960804620624367,0.0391953793756326,0.891385645331595,0.0349381985387649,4.36958273031106,50.5422473105998,56.700764226238,2000
"Busan","Female","10-14",35185,94233,0.728129008329599,0.85644744679283,0.999999,1e-06,0.85644744679283,8.5644744679283e-07,4.28223509284553,46.1726645802887,53.9118480102815,2000
"Busan","Female","15-19",38196,124278,0.76491007792016,0.89971045757908,0.948597032484171,0.0514029675158287,0.856446590345383,0.044023896262566,4.1721732110705,41.8904294874432,48.9118994221809,2000
"Busan","Female","20-24",44008,116366,0.7255914300323,0.853462670154491,0.823418123763818,0.176581876236182,0.812422694082817,0.143459123617997,3.70346566136909,37.7182562763727,46.426886583904,2000
"Busan","Female","25-29",60439,89707,0.597465133936302,0.70275663056107,0.850073908169018,0.149926091830982,0.66896357046482,0.10029509369709,3.09408011808137,34.0147906150036,50.8469999216383,2000
"Busan","Female","30-34",58352,60223,0.507889521399958,0.597395075432739,0.968486616906393,0.0315133830936067,0.56866847676773,0.0179206675616393,2.79854071493455,30.9207104969222,54.373878208747,2000
"Busan","Female","35-39",49304,47729,0.491884204342852,0.578569135562393,0.999999,1e-06,0.55074780920609,5.5074780920609e-07,2.75373766916093,28.1221697819877,51.0617914622776,2000
"Busan","Female","40-44",44833,49197,0.523205359991492,0.615410029798179,0.95385326275632,0.0461467372436796,0.550747258458281,0.0254151890237512,2.69019831973203,25.3684321128267,46.0618400241177,2000
"Busan","Female","45-49",35215,35083,0.49906113971948,0.587010864855957,0.999999,1e-06,0.52533206943453,5.2533206943453e-07,2.62665903384248,22.6782337930947,43.1693306245432,2000
