"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex"
"Busan","Female","0-4",15233,86438,0.850173599158069,2000,0,0.850173599158069,0.850173599158069,0.891385645331595,0.108614354668405,1,0.108614354668405,4.72846411332899,30.9862270821316,30.9862270821316
"Busan","Female","5-9",30207,94529,0.7578325423294,2000,5,0.7578325423294,0.7578325423294,0.985071901016883,0.0149280989831171,0.891385645331595,0.0133066931456397,4.42366149379387,26.2577629688026,29.4572423353696
"Busan","Female","10-14",35185,94233,0.728129008329599,2000,10,0.728129008329599,0.746519543124879,0.999999,1.00000000002876e-06,0.878078952185955,8.78078952211205e-07,4.39039256573239,21.8341014750087,24.86576112621
"Busan","Female","15-19",38196,124278,0.76491007792016,2000,15,0.76491007792016,0.746519543124879,0.971965753227336,0.0280342467726644,0.878078074107003,0.0246162574151816,4.32884972699706,17.4437089092763,19.8657834919935
"Busan","Female","20-24",44008,116366,0.7255914300323,2000,20,0.7255914300323,0.7255914300323,0.823418123763818,0.176581876236182,0.853461816691821,0.150705888887382,3.89054436124065,13.1148591822793,15.3666619007221
"Busan","Female","25-29",60439,89707,0.597465133936302,2000,25,0.597465133936302,0.597465133936302,0.850073908169018,0.149926091830982,0.702755927804439,0.105361449766776,3.25037601460526,9.22431482103861,13.1259153513758
"Busan","Female","30-34",58352,60223,0.507889521399958,2000,30,0.507889521399958,0.507889521399958,0.999999,1.00000000002876e-06,0.597394478037664,5.97394478054842e-07,2.98697089670212,5.97393880643335,9.9999900000025
"Busan","Female","35+",177442,206917,0.538343059483452,2000,35,0.538343059483452,0.538343059483452,0.999999,1.00000000002876e-06,0.597393880643186,5.97393880660364e-07,2.98696790973123,2.98696790973123,4.9999975
"Busan","Male","0-4",17147,100042,0.853680806219014,2000,0,0.853680806219014,0.853680806219014,0.907834443422334,0.0921655565776657,1,0.0921655565776657,4.76958610855584,31.7136905260495,31.7136905260495
"Busan","Male","5-9",33499,115386,0.775000839574168,2000,5,0.775000839574168,0.775000839574168,0.965367120983924,0.0346328790160764,0.907834443422334,0.0314409204456727,4.46056991599749,26.9441044174937,29.6795353081344
